Accession,Title,Series Type,Taxonomy,Sample Count,Datasets,Supplementary Types,Supplementary Links,PubMed ID,SRA Accession,Contact,Release Date
GSE69323,"Gata6 potently initiates reprogramming of pluripotent and differentiated cells to extraembryonic endoderm stem cells","Expression profiling by array;Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens;Mus musculus",43,,,,26109048,,"Kathy Niakan","Jun 30, 2015"
GSE70380,"Patient Derived Xenograft for Delivery of Precision Medicine in Castrate Resistant Prostate Cancer","Expression profiling by high throughput sequencing","Homo sapiens",12,,"TSV","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE70nnn/GSE70380/suppl",26695660,SRP059950,"Hugues Sicotte","Jun 30, 2015"
GSE63753,"Single-nucleotide resolution mapping of m6A and m6Am throughout the transcriptome","Expression profiling by high throughput sequencing;Other","Homo sapiens;Mus musculus",7,,"BED;BEDGRAPH;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE63nnn/GSE63753/suppl",26121403,SRP050393,"Samie R Jaffrey","Jun 29, 2015"
GSE66809,"IFN-g Regulates mTORC1, Cellular Metabolism and mRNA Translation to Potentiate Inflammatory Macrophage Activation [RNA-Seq]","Expression profiling by high throughput sequencing","Homo sapiens",8,,"XLSX","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE66nnn/GSE66809/suppl",26147685,SRP056098,"Xiaodi Su","Jun 29, 2015"
GSE66810,"IFN-g Regulates mTORC1, Cellular Metabolism and mRNA Translation to Potentiate Inflammatory Macrophage Activation","Expression profiling by high throughput sequencing;Non-coding RNA profiling by high throughput sequencing","Homo sapiens",16,,,,26147685,,"Xiaodi Su","Jun 29, 2015"
GSE68800,"The RNA-binding protein Musashi1 is a central regulator of adhesion pathways in glioblastoma","Expression profiling by high throughput sequencing","Homo sapiens",9,,"BED","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE68nnn/GSE68800/suppl",26100017,SRP058244,"Philip James Uren","Jun 29, 2015"
GSE69622,"Landscape of Hematopoiesis Described in Induced Pluripotent Stem Cells and Human Bone Marrow","Expression profiling by high throughput sequencing","Homo sapiens",20,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE69nnn/GSE69622/suppl",25533346,SRP059205,"Rebekah Karns","Jun 27, 2015"
GSE60560,"RNA-seq analysis reveals significant effects of EGFR signaling on mesenchymal stem cells (MSC)","Expression profiling by high throughput sequencing","Homo sapiens",8,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE60nnn/GSE60560/suppl",25344915,SRP045636,"Nicola Normanno","Jun 26, 2015"
GSE70335,"ncRNA (non-coding RNA) signature in endothelial cells during hypoxia","Non-coding RNA profiling by array;Non-coding RNA profiling by high throughput sequencing;Expression profiling by high throughput sequencing","Homo sapiens",8,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE70nnn/GSE70335/suppl",,,"Jan Fiedler","Jun 26, 2015"
GSE64283,"Tissue-specific circular RNA induction during human fetal development","Expression profiling by high throughput sequencing","Homo sapiens",35,,"CSV;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE64nnn/GSE64283/suppl",26076956,SRP051249,"Linda Szabo","Jun 25, 2015"
GSE64417,"Induction of circular RNA in fetal heart development recapitulated in in vitro differentiation","Expression profiling by high throughput sequencing","Homo sapiens",71,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE64nnn/GSE64417/suppl",26076956,SRP051472,"Linda Szabo","Jun 25, 2015"
