Approved symbol	Ensembl ID(supplied by Ensembl)
RPL17P6	
GLUD1P6	
LINC02640	
RPL26P5	
BRN3B~withdrawn	
ATXN7L4~withdrawn	
MIR1270-2~withdrawn	
ANX2P1~withdrawn	
LINC00401~withdrawn	
OR2A24P~withdrawn	
M4S1~withdrawn	
MYP7	
MODY1~withdrawn	
ZRK~withdrawn	
MIR3118-6~withdrawn	
DFNA15~withdrawn	
FAM231C~withdrawn	
IGLV5-39	
MLT~withdrawn	
TRV-CAC6-1	
FAM25HP~withdrawn	
ICS1	
IBTKP1	
RPL21P85	
PSORS6	
FKHL16~withdrawn	
RPL39P9	
RPL32P32	
PTMAP13	
RPS24P3	
SRRM1P1	
DFNA25~withdrawn	
TRE-CTC14-1	
TRR-CCT1-1	
RPS27P3	
PIRC20	
ADDL~withdrawn	
C6orf152~withdrawn	
PCBP3-OT1~withdrawn	
NM	
RNA5-8S4	
GPR95~withdrawn	
PRIM2B~withdrawn	
CD39L3~withdrawn	
AMD2~withdrawn	
ZNF54A~withdrawn	
MIR4792~withdrawn	
UBE2V~withdrawn	
CD33L2~withdrawn	
OR7E147P~withdrawn	
RPS3L1~withdrawn	
ERVK3-6	
TRBD2	
HOX3C~withdrawn	
TRD-GTC2-4	
RNU6-1302P~withdrawn	
KFM	
SNORA117	
RPS2P23	
VN1R62P	
FAM183EP	
CMD1J~withdrawn	
RNU6-69P	
DNM1DN8@~withdrawn	
TRSUP-CTA3-1	
PRR13P6	
TRR-TCT3-1	
RPL21P35	
RPS13P7	
TRQ-CTG11-1	
MTATP6P6	
GFPT~withdrawn	
MEKK4~withdrawn	
COPG2IT1	
TRESMCR~withdrawn	
NRG1-IT2~withdrawn	
RN5S2@~withdrawn	
C20orf109~withdrawn	
IGKV2OR2-1A~withdrawn	
ZNF87~withdrawn	
ULK4-IT1~withdrawn	
OR2F5~withdrawn	
OR5G6P~withdrawn	
INSL1~withdrawn	
ERVK-14	
HOX4D~withdrawn	
RN7SL349P~withdrawn	
CREB2~withdrawn	
IDDM6	
CDRT12	
CKN1~withdrawn	
RPL9P26	
TMVCF~withdrawn	
SNORA100	
CD94~withdrawn	
RPL39P37	
OR1R1P	
NMTRQ-TTG10-1	
RPL32P27	
OLFR1~withdrawn	
TRP-CGG1-3	
POM121L11P	
EEF1A1P43	
TRE-CTC7-1	
RPL18P8	
CRSP4~withdrawn	
TEKT4P3	
C20orf2~withdrawn	
ORCTL2~withdrawn	
PRKM3~withdrawn	
MICALCL	
SNORD168	
PERQ3~withdrawn	
MT1NP~withdrawn	
MIR9902-1	
SPG47~withdrawn	
RPS1L~withdrawn	
SERF1~withdrawn	
MTCSB3	
DNHL1~withdrawn	
TSC3~withdrawn	
ERRFI1-IT1~withdrawn	
MRX17	
ZNF170~withdrawn	
TRBVC	
CLGI~withdrawn	
RN7SL476P~withdrawn	
ERVW-15	
HPC1	
PABP2~withdrawn	
ADRB2RL1~withdrawn	
LINC02350	
SNORA109	
RPL19P6	
RNY5P5	
RPS10P26	
NACAP9	
RPL31P37	
SNORD103C	
STC~withdrawn	
TRL-CAG1-5	
CSRP2P1	
HSD17B5~withdrawn	
RBMY2MP	
TRN-GTT22-1	
MARK2P2	
BFLS~withdrawn	
TRQ-TTG10-1	
CPD1~withdrawn	
PIRC35	
C20orf84~withdrawn	
SCA5~withdrawn	
GLUD1P8~withdrawn	
MIR10397	
RAD54~withdrawn	
RGSL2~withdrawn	
PTPLC~withdrawn	
DFNM1	
RNU3B2~withdrawn	
ERVW-12	
KAL2~withdrawn	
TRF-GAA6-1	
OR2A18P~withdrawn	
RNU6-594P~withdrawn	
SEN6	
RNA45SN5	
EIF2~withdrawn	
LINC00419~withdrawn	
TYRO4~withdrawn	
RPL27P9	
MHRT	
TRBVAOR9-2	
SPANXE~withdrawn	
ISCA1P5	
NPM1P44	
RNU7-76P	
MEN2A~withdrawn	
TRP-CGG2-1	
FNTAP1	
ITGB1P1	
RPL37P8	
DNM1P37	
MDGI~withdrawn	
FEB3~withdrawn	
PIRC85	
ADAMTS21~withdrawn	
LNHR~withdrawn	
MIR12122	
DFNB82~withdrawn	
DFNA39~withdrawn	
CDRT13	
FKHL4~withdrawn	
A12M1~withdrawn	
OR4H1P~withdrawn	
RNU86~withdrawn	
ERVK9-8	
CTSGL1~withdrawn	
RN7SL770P~withdrawn	
SCZD5	
LINC01073	
TRL-TAA1-1	
RAF1P2~withdrawn	
OR7E76~withdrawn	
STGD2~withdrawn	
MRP~withdrawn	
SALL4P3	
PCDHA@	
OR2E2~withdrawn	
PRSS43P	
RPL6P14	
C22orf12~withdrawn	
TRG-TCC2-4	
HERC2P6	
RPL21P70	
EEF1A1P23	
AACT~withdrawn	
GLYD~withdrawn	
PIRC34	
GLUR4~withdrawn	
SNF5L1~withdrawn	
OR9G9	
MIR1843	
HOX2B~withdrawn	
WISP1-OT1~withdrawn	
PAI2~withdrawn	
FUR~withdrawn	
RN5S~withdrawn	
SAP2~withdrawn	
RPL7AP59~withdrawn	
TRNAQ4~withdrawn	
ERVFRD-2	
SNORD13H	
BRCA1P1	
PYHG12~withdrawn	
RN7SL129P~withdrawn	
GSM1	
RN7SL112P~withdrawn	
DFNB27	
DFNB69	
DFNA1~withdrawn	
IGBP1P2	
RPL34P10	
GTF3B~withdrawn	
RPL18AP12	
ST12~withdrawn	
RPS12P3	
AK2P1	
ZNF722P	
HOPS~withdrawn	
TRM-CAT3-1	
SFTP2~withdrawn	
RN7SL6P	
FEB7	
PIRC86	
CNRS7~withdrawn	
LINC00889	
CLDN21~withdrawn	
KIAA0125~withdrawn	
NPCDR1	
MTTAS	
PPLA2~withdrawn	
CMD1E~withdrawn	
SLC21A7~withdrawn	
WT2	
TCEB1P1~withdrawn	
NCRNA00250~withdrawn	
FRA1K	
DNAH17L~withdrawn	
C21orf12~withdrawn	
RN7SL710P~withdrawn	
DFNA19	
RN7SL746P~withdrawn	
SLEN1	
CCD1~withdrawn	
GTF3AP3	
MRPL14P1	
C20orf57~withdrawn	
MMP18~withdrawn	
RPL31P43	
RPS3AP20	
MRT20	
TRL-TAA3-1	
LINC02602	
RPS15AP15	
PIRC57	
BGP~withdrawn	
NCA~withdrawn	
AURKBP1	
OR1F4~withdrawn	
SNAR-C5	
EIF2AP3	
ALS2CR16~withdrawn	
C6orf98~withdrawn	
WS1~withdrawn	
SLEB1~withdrawn	
GLAT~withdrawn	
TCRGV6~withdrawn	
ZNF92P3~withdrawn	
TRNAN6~withdrawn	
FRA4A	
WND~withdrawn	
RPL35AP13	
MSK17~withdrawn	
PPP1R2P7~withdrawn	
IGLP2	
CDC2L3~withdrawn	
RN7SL367P~withdrawn	
ADCR~withdrawn	
PSORS8	
TRH-GTG1-7	
RPLP2P4	
APT1LG1~withdrawn	
ZNF139~withdrawn	
MTND6P26	
RPS12P13	
IGKVPZ1~withdrawn	
AHCTF1P1	
RPS27P17	
ATP5MFP2	
TRN-GTT20-1	
TRS-TGA2-1	
FAM90A19P	
CNTNAP3P7	
PDEG~withdrawn	
SNORA118	
CRYG5~withdrawn	
ANX3~withdrawn	
GCTG~withdrawn	
MRC1L1~withdrawn	
TLX~withdrawn	
EBR1~withdrawn	
RP66~withdrawn	
HVBS6~withdrawn	
TCRGVB~withdrawn	
ATP5A1P9~withdrawn	
RNF165-IT1~withdrawn	
OTSC4	
FRA6E	
MTHFDP1~withdrawn	
LINC02620	
DLG2-AS1	
PNY1~withdrawn	
RN7SL295P~withdrawn	
MYP16	
CSE~withdrawn	
RN7SL276P~withdrawn	
SAX1	
THSD4-AS2	
IDDM4	
TRL-CAG3-1	
TRK-TTT12-1	
FRA12C	
PLC1~withdrawn	
DFN6~withdrawn	
TRP-TGG1-1	
RPL21P68	
PA2G4P5	
VN1R95P	
RPS26P25	
FAM245B	
SPEGNB	
ERBAL3~withdrawn	
PMS2L7~withdrawn	
EHMT1-IT1~withdrawn	
ANX2L2~withdrawn	
ADMLX~withdrawn	
AGS2~withdrawn	
MUW53~withdrawn	
RNA5SP58~withdrawn	
C6orf43~withdrawn	
FRA8B	
CLG1~withdrawn	
OR8N1P~withdrawn	
RN7SL805P~withdrawn	
USH1K	
TRG-GCC2-4	
ANTP2~withdrawn	
CCA1	
DFNB17	
FDH~withdrawn	
SNT1~withdrawn	
STX1B1~withdrawn	
SNORD13P2	
SDHDP7	
IDDM17	
TRH-GTG1-3	
SEPT14P14	
ZNF186~withdrawn	
TAX~withdrawn	
SIGLEC24P	
ADTG~withdrawn	
VN2R20P	
RPL19P7	
VN1R24P	
DALIR	
PRKM6~withdrawn	
HOX4H~withdrawn	
STK6P~withdrawn	
C2orf31~withdrawn	
BVR1	
TST1~withdrawn	
SPG10~withdrawn	
HSPA3~withdrawn	
PLM~withdrawn	
GAGE4	
EPLG5~withdrawn	
RNU7-139P~withdrawn	
C8orf16~withdrawn	
FRA18A	
OR2W7P~withdrawn	
C20orf89~withdrawn	
MCNAA~withdrawn	
MCDR3	
GAPDHL5~withdrawn	
RCA1	
HCL1	
ANGPT3~withdrawn	
CLAPS2~withdrawn	
OR7A12P~withdrawn	
LINC01238	
AVED~withdrawn	
PPIP5K1P1	
HMGN2P2	
TRY-GTA8-1	
FAM32DP	
BCP~withdrawn	
TRV-AAC1-2	
COX8BP	
RPS28P9	
NICN2P	
HSPA10~withdrawn	
RPL13AP26	
DO~withdrawn	
MPP7-DT	
CD57~withdrawn	
OSBPL9P6	
RIR~withdrawn	
FAM27E2	
CYP2C115P	
TAS2R49~withdrawn	
C14orf62~withdrawn	
FRA14B	
PARK4~withdrawn	
STO~withdrawn	
USH2B~withdrawn	
IGHV1-8	
RN7SL527P~withdrawn	
MIRN801~withdrawn	
ERVFC1-1	
CNCG3L~withdrawn	
DFNB4~withdrawn	
ERVT2~withdrawn	
TRQ-TTG2-1	
RNU6-124P~withdrawn	
CCT	
TRN-GTT6-1	
HLA-DVB~withdrawn	
HSCR2~withdrawn	
RPS6P19	
OR1L7~withdrawn	
MIR570HG	
TRV-CAC2-1	
SNRPCP12	
C2orf69P5	
RCP~withdrawn	
C1orf215~withdrawn	
CHEK2P1	
PCMTD1P5	
RBM22P11	
LINC02641	
RPS15AP13	
TRX-CAT3-1	
P2RY7~withdrawn	
CGM12~withdrawn	
G1P1~withdrawn	
EIF4G~withdrawn	
LINC00328	
OR2C2P~withdrawn	
ZNF388~withdrawn	
OR1F10~withdrawn	
MSBP2	
RPS21P3	
DFNB77~withdrawn	
C17orf9~withdrawn	
MPD1~withdrawn	
ZNF188~withdrawn	
RNU7-91P~withdrawn	
AEPLC~withdrawn	
RPL6P4	
ZNF128~withdrawn	
MIR302CHG	
CNA2~withdrawn	
RNU6-814P~withdrawn	
IDDM14	
HSST~withdrawn	
RPL17P23	
KWE	
NPT1~withdrawn	
BMIQ5	
CD49B~withdrawn	
RPL9P10	
MACOM	
DFNA23~withdrawn	
TRI-AAT4-1	
LETM1P3	
DUXAP8	
OR4F1~withdrawn	
TRA-CGC4-1	
ABCF2	
RPL7AP37	
DFNB36~withdrawn	
RNA18S3	
CMKRL1~withdrawn	
RN7SL433P~withdrawn	
FAM8A8P~withdrawn	
CCND2-AS2~withdrawn	
C17orf2~withdrawn	
OR2E1~withdrawn	
MYLL1~withdrawn	
MIR7641-2~withdrawn	
BSEP~withdrawn	
OR55B2P~withdrawn	
ZNF196~withdrawn	
