NCBI Gene ID	Approved symbol
1	A1BG
503538	A1BG-AS1
29974	A1CF
	A1S9T~withdrawn
2	A2M
144571	A2M-AS1
144568	A2ML1
	A2ML1-AS1
	A2ML1-AS2
3	A2MP1
	A2MR~withdrawn
	A2MRAP~withdrawn
127550	A3GALT2
53947	A4GALT
51146	A4GNT
	A12M1~withdrawn
	A12M2~withdrawn
	A12M3~withdrawn
	A12M4~withdrawn
	AA~withdrawn
8086	AAAS
	AABT~withdrawn
	AAC1~withdrawn
	AAC2~withdrawn
65985	AACS
729522	AACSP1
	AACT~withdrawn
13	AADAC
344752	AADACL2
101928142	AADACL2-AS1
126767	AADACL3
343066	AADACL4
201651	AADACP1
51166	AADAT
79719	AAGAB
22848	AAK1
28971	AAMDC
14	AAMP
15	AANAT
25980	AAR2
441376	AARD
16	AARS
57505	AARS2
80755	AARSD1
	AARSP1
132949	AASDH
60496	AASDHPPT
10157	AASS
284837	AATBC
26574	AATF
9625	AATK
17	AAVS1
103021294	ABALON
18	ABAT
	ABC1~withdrawn
	ABC2~withdrawn
	ABC3~withdrawn
	ABC7~withdrawn
	ABC50~withdrawn
19	ABCA1
20	ABCA2
21	ABCA3
24	ABCA4
23461	ABCA5
23460	ABCA6
10347	ABCA7
10351	ABCA8
10350	ABCA9
	ABCA9-AS1
10349	ABCA10
79963	ABCA11P
26154	ABCA12
154664	ABCA13
650655	ABCA17P
5243	ABCB1
	ABCB2~withdrawn
	ABCB3~withdrawn
5244	ABCB4
340273	ABCB5
10058	ABCB6
22	ABCB7
11194	ABCB8
23457	ABCB9
23456	ABCB10
56476	ABCB10P1
	ABCB10P2~withdrawn
728248	ABCB10P3
100132289	ABCB10P4
8647	ABCB11
4363	ABCC1
1244	ABCC2
8714	ABCC3
10257	ABCC4
10057	ABCC5
	ABCC5-AS1
368	ABCC6
653190	ABCC6P1
730013	ABCC6P2
	ABCC7~withdrawn
6833	ABCC8
10060	ABCC9
89845	ABCC10
85320	ABCC11
94160	ABCC12
