Approved symbol	Previous symbols
A1BG	
A1BG-AS1	NCRNA00181, A1BGAS, A1BG-AS
A1CF	
A1S9T~withdrawn	
A2M	
A2M-AS1	
A2ML1	CPAMD9
A2ML1-AS1	
A2ML1-AS2	
A2MP1	A2MP
A2MR~withdrawn	
A2MRAP~withdrawn	
A3GALT2	A3GALT2P
A4GALT	P1
A4GNT	
A12M1~withdrawn	
A12M2~withdrawn	
A12M3~withdrawn	
A12M4~withdrawn	
AA~withdrawn	
AAAS	
AABT~withdrawn	
AAC1~withdrawn	
AAC2~withdrawn	
AACS	
AACSP1	AACSL
AACT~withdrawn	
AADAC	
AADACL2	
AADACL2-AS1	
AADACL3	
AADACL4	
AADACP1	
AADAT	
AAGAB	
AAK1	
AAMDC	C11orf67
AAMP	
AANAT	
AAR2	C20orf4
AARD	C8orf85
AARS	
AARS2	AARSL
AARSD1	
AARSP1	
AASDH	
AASDHPPT	
AASS	
AATBC	
AATF	
AATK	
AAVS1	
ABALON	
ABAT	
ABC1~withdrawn	
ABC2~withdrawn	
ABC3~withdrawn	
ABC7~withdrawn	
ABC50~withdrawn	
ABCA1	ABC1, HDLDT1
ABCA2	ABC2
ABCA3	ABC3
ABCA4	STGD1, ABCR, RP19, STGD
ABCA5	
ABCA6	
ABCA7	
ABCA8	
ABCA9	
ABCA9-AS1	
ABCA10	
ABCA11P	ABCA11
ABCA12	ICR2B
ABCA13	
ABCA17P	
ABCB1	PGY1, MDR1, CLCS
ABCB2~withdrawn	
ABCB3~withdrawn	
ABCB4	PGY3, MDR3
ABCB5	
ABCB6	
ABCB7	ABC7
ABCB8	
ABCB9	
ABCB10	
ABCB10P1	ABCB10P, ABCB10P2
ABCB10P2~withdrawn	
ABCB10P3	
ABCB10P4	
ABCB11	BSEP, PFIC2
ABCC1	MRP, MRP1
ABCC2	CMOAT
ABCC3	
ABCC4	
ABCC5	
ABCC5-AS1	
ABCC6	ARA, PXE
ABCC6P1	
ABCC6P2	
ABCC7~withdrawn	
ABCC8	SUR, HRINS
ABCC9	
ABCC10	
ABCC11	
ABCC12	
ABCC13	
ABCD1	ALD
ABCD1P1	
ABCD1P2	
ABCD1P3	
ABCD1P4	
ABCD1P5	
ABCD2	ALDL1
ABCD3	PXMP1
ABCD4	PXMP1L
ABCE1	RNASEL1, RNASELI, RNS4I
ABCF1	ABC50
ABCF1-DT	
ABCF2	
ABCF2P1	
ABCF2P2	
ABCF3	
ABCG1	
ABCG2	
ABCG4	
ABCG5	
ABCG8	
ABCR~withdrawn	
ABHD1	
ABHD2	
ABHD3	
ABHD4	
ABHD5	
ABHD6	
ABHD8	
ABHD10	
ABHD11	WBSCR21
ABHD11-AS1	WBSCR26, LINC00035
ABHD11-AS2~withdrawn	
ABHD12	C20orf22
ABHD12B	C14orf29
ABHD13	C13orf6
ABHD14A	
ABHD14A-ACY1	
ABHD14B	
ABHD15	
ABHD15-AS1	
ABHD16A	BAT5
ABHD16B	C20orf135
ABHD17A	C19orf27, FAM108A1
ABHD17AP1	FAM108A2, ABHD17AP2, FAM108A3, FAM108A11P, FAM108A3P
ABHD17AP2~withdrawn	
ABHD17AP3	FAM108A4, FAM108A4P
ABHD17AP4	FAM108A5, FAM108A5P
ABHD17AP5	FAM108A6, FAM108A6P
ABHD17AP6	FAM108A7P
ABHD17AP7	FAM108A8P
ABHD17AP8	FAM108A9P
ABHD17AP9	FAM108A10P
ABHD17B	C9orf77, FAM108B1
ABHD17C	FAM108C1
ABHD18	C4orf29
ABI1	SSH3BP1
ABI1P1	SSH3BP1P, ABI1P
ABI2	
ABI3	
ABI3BP	
ABITRAM	C9orf6, FAM206A
ABITRAMP1	FAM206BP
ABL1	ABL
ABL2	ABLL
ABLIM1	LIMAB1, ABLIM
ABLIM2	
ABLIM3	
ABO	
ABR	
ABRA	
ABRACL	C6orf115
ABRAXAS1	CCDC98, FAM175A
ABRAXAS2	KIAA0157, FAM175B
ABT1	
ABT1P1	
ABTB1	
ABTB2	
ACAA1	
ACAA2	
ACACA	ACAC, ACC
ACACB	
ACAD~withdrawn	
ACAD8	
ACAD9	
ACAD10	
ACAD11	
ACADL	
ACADM	
ACADS	
ACADSB	
ACADVL	
ACAN	MSK16, CSPG1, AGC1
ACAP1	CENTB1
ACAP2	CENTB2
ACAP2-IT1	
ACAP3	CENTB5
ACAT1	ACAT
ACAT2	
ACBD3	GOLPH1, GOCAP1
ACBD3-AS1	
ACBD4	
ACBD5	
ACBD6	
ACBD7	
ACBP~withdrawn	
ACC~withdrawn	
ACCN~withdrawn	
ACCPN~withdrawn	
ACCS	
ACCSL	
ACD	
ACE	DCP1
ACE2	
ACE3P	
ACER1	ASAH3
ACER2	ASAH3L
ACER3	PHCA
ACH~withdrawn	
ACHAP~withdrawn	
ACHE	YT
ACHM1~withdrawn	
ACHM2~withdrawn	
ACHM3~withdrawn	
ACHRD~withdrawn	
ACHRG~withdrawn	
ACIN1	ACINUS
ACKR1	FY, DARC
ACKR2	CMKBR9, CCBP2
ACKR3	CMKOR1, CXCR7
ACKR4	CCRL1
ACLS	
ACLY	
ACMG~withdrawn	
ACMSD	
ACNATP	BAATP1
ACO1	IREB1
ACO2	
ACOD1	IRG1
ACOT1	
ACOT2	
ACOT4	
ACOT6	C14orf42
ACOT7	
ACOT8	PTE1
ACOT9	
ACOT11	THEA
ACOT12	
ACOT13	THEM2
ACOX1	
ACOX2	
ACOX3	
ACOXL	
ACOXL-AS1	
ACP1	
ACP2	
ACP4	ACPT
ACP5	
ACP6	
ACP7	
ACPP	
ACR	
ACRBP	
ACRV1	
ACS3~withdrawn	
ACSBG1	
