,auc,first_degree_auc,first_degree_diff,first_degree_std,gene_name,second_degree_auc,second_degree_diff,second_degree_std,std
0,0.58,0.5,0.07999999999999996,0.0,UBE2Q1,0.5,0.07999999999999996,0.0,0.01
0,0.62,0.5,0.12,0.0,RNF14,0.5,0.12,0.0,0.01
0,0.53,0.5,0.030000000000000027,0.0,RNF17,0.5,0.030000000000000027,0.0,0.01
0,0.56,0.5,0.06000000000000005,0.0,RNF10,0.5,0.06000000000000005,0.0,0.01
0,0.64,0.5,0.14,0.0,RNF11,0.5,0.14,0.0,0.02
0,0.64,0.5,0.14,0.0,RNF13,0.5,0.14,0.0,0.02
0,0.56,0.5,0.06000000000000005,0.0,REM1,0.5,0.06000000000000005,0.0,0.01
0,0.57,0.5,0.06999999999999995,0.0,REM2,0.5,0.06999999999999995,0.0,0.01
0,0.62,0.5,0.12,0.0,SYNGR2,0.5,0.12,0.0,0.01
0,0.61,0.5,0.10999999999999999,0.0,C16orf13,0.5,0.10999999999999999,0.0,0.01
